# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 5, targetName: Jupiter, Diameter: 139822.00 km, Orbital period: 4.33259000E+03 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 1000
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
Jupiter,   2024-04-11T00:00:00.00,  54 35 46.1393, -00 56 11.6053,    5.006561142,  -9.40
Jupiter,   2024-04-21T00:00:00.00,  55 29 31.0388, -00 55 20.1599,    5.008956651,  -9.40
Jupiter,   2024-05-01T00:00:00.00,  56 23 12.8046, -00 54 27.9535,    5.011394819,  -9.40
Jupiter,   2024-05-11T00:00:00.00,  57 16 51.3869, -00 53 35.0020,    5.013874986,  -9.40
Jupiter,   2024-05-21T00:00:00.00,  58 10 26.7367, -00 52 41.3215,    5.016396487,  -9.40
Jupiter,   2024-05-31T00:00:00.00,  59  3 58.8062, -00 51 46.9282,    5.018958649,  -9.40
Jupiter,   2024-06-10T00:00:00.00,  59 57 27.5480, -00 50 51.8386,    5.021560783,  -9.40
Jupiter,   2024-06-20T00:00:00.00,  60 50 52.9148, -00 49 56.0692,    5.024202201,  -9.40
Jupiter,   2024-06-30T00:00:00.00,  61 44 14.8602, -00 48 59.6370,    5.026882254,  -9.40
Jupiter,   2024-07-10T00:00:00.00,  62 37 33.3405, -00 48  2.5586,    5.029600307,  -9.40
Jupiter,   2024-07-20T00:00:00.00,  63 30 48.3140, -00 47  4.8507,    5.032355699,  -9.40
Jupiter,   2024-07-30T00:00:00.00,  64 23 59.7403, -00 46  6.5300,    5.035147756,  -9.40
Jupiter,   2024-08-09T00:00:00.00,  65 17  7.5804, -00 45  7.6136,    5.037975791,  -9.40
Jupiter,   2024-08-19T00:00:00.00,  66 10 11.7968, -00 44  8.1182,    5.040839108,  -9.40
Jupiter,   2024-08-29T00:00:00.00,  67  3 12.3532, -00 43  8.0609,    5.043736989,  -9.40
Jupiter,   2024-09-08T00:00:00.00,  67 56  9.2144, -00 42  7.4589,    5.046668692,  -9.40
Jupiter,   2024-09-18T00:00:00.00,  68 49  2.3453, -00 41  6.3293,    5.049633465,  -9.40
Jupiter,   2024-09-28T00:00:00.00,  69 41 51.7117, -00 40  4.6895,    5.052630584,  -9.40
Jupiter,   2024-10-08T00:00:00.00,  70 34 37.2819, -00 39  2.5566,    5.055659323,  -9.40
Jupiter,   2024-10-18T00:00:00.00,  71 27 19.0258, -00 37 59.9476,    5.058718923,  -9.40
Jupiter,   2024-10-28T00:00:00.00,  72 19 56.9142, -00 36 56.8797,    5.061808604,  -9.40
Jupiter,   2024-11-07T00:00:00.00,  73 12 30.9185, -00 35 53.3701,    5.064927573,  -9.40
Jupiter,   2024-11-17T00:00:00.00,  74  5  1.0111, -00 34 49.4361,    5.068075029,  -9.40
Jupiter,   2024-11-27T00:00:00.00,  74 57 27.1652, -00 33 45.0950,    5.071250154,  -9.40
Jupiter,   2024-12-07T00:00:00.00,  75 49 49.3543, -00 32 40.3641,    5.074452113,  -9.40
Jupiter,   2024-12-17T00:00:00.00,  76 42  7.5513, -00 31 35.2610,    5.077680079,  -9.40
Jupiter,   2024-12-27T00:00:00.00,  77 34 21.7302, -00 30 29.8031,    5.080933271,  -9.40
Jupiter,   2025-01-06T00:00:00.00,  78 26 31.8670, -00 29 24.0076,    5.084210914,  -9.40
Jupiter,   2025-01-16T00:00:00.00,  79 18 37.9394, -00 28 17.8917,    5.087512225,  -9.40
Jupiter,   2025-01-26T00:00:00.00,  80 10 39.9256, -00 27 11.4727,    5.090836417,  -9.40
Jupiter,   2025-02-05T00:00:00.00,  81  2 37.8053, -00 26  4.7676,    5.094182711,  -9.40
Jupiter,   2025-02-15T00:00:00.00,  81 54 31.5594, -00 24 57.7937,    5.097550332,  -9.40
Jupiter,   2025-02-25T00:00:00.00,  82 46 21.1700, -00 23 50.5679,    5.100938502,  -9.40
Jupiter,   2025-03-07T00:00:00.00,  83 38  6.6203, -00 22 43.1074,    5.104346431,  -9.40
Jupiter,   2025-03-17T00:00:00.00,  84 29 47.8935, -00 21 35.4292,    5.107773347,  -9.40
Jupiter,   2025-03-27T00:00:00.00,  85 21 24.9747, -00 20 27.5503,    5.111218523,  -9.40
Jupiter,   2025-04-06T00:00:00.00,  86 12 57.8518, -00 19 19.4872,    5.114681229,  -9.40
Jupiter,   2025-04-16T00:00:00.00,  87  4 26.5144, -00 18 11.2565,    5.118160714,  -9.40
Jupiter,   2025-04-26T00:00:00.00,  87 55 50.9537, -00 17  2.8746,    5.121656219,  -9.40
Jupiter,   2025-05-06T00:00:00.00,  88 47 11.1620, -00 15 54.3578,    5.125166972,  -9.40
Jupiter,   2025-05-16T00:00:00.00,  89 38 27.1331, -00 14 45.7224,    5.128692187,  -9.40
Jupiter,   2025-05-26T00:00:00.00,  90 29 38.8620, -00 13 36.9847,    5.132231059,  -9.40
Jupiter,   2025-06-05T00:00:00.00,  91 20 46.3442, -00 12 28.1608,    5.135782755,  -9.40
