# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 4, targetName: Mars, Diameter: 6780.00 km, Orbital period: 6.86980000E+02 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 2000
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
Mars,   2024-04-11T00:00:00.00, 318 47 44.6875, -01 50 51.7874,    1.386901402,  -1.52
Mars,   2024-04-12T00:00:00.00, 319 25 33.5257, -01 50 52.2703,    1.386518507,  -1.52
Mars,   2024-04-13T00:00:00.00, 320  3 23.5947, -01 50 51.9484,    1.386149357,  -1.52
Mars,   2024-04-14T00:00:00.00, 320 41 14.8499, -01 50 50.8207,    1.385794005,  -1.52
Mars,   2024-04-15T00:00:00.00, 321 19  7.2463, -01 50 48.8859,    1.385452499,  -1.52
Mars,   2024-04-16T00:00:00.00, 321 57  0.7386, -01 50 46.1432,    1.385124889,  -1.52
Mars,   2024-04-17T00:00:00.00, 322 34 55.2814, -01 50 42.5917,    1.384811221,  -1.52
Mars,   2024-04-18T00:00:00.00, 323 12 50.8290, -01 50 38.2310,    1.384511539,  -1.52
Mars,   2024-04-19T00:00:00.00, 323 50 47.3353, -01 50 33.0606,    1.384225886,  -1.52
Mars,   2024-04-20T00:00:00.00, 324 28 44.7542, -01 50 27.0801,    1.383954302,  -1.52
Mars,   2024-04-21T00:00:00.00, 325  6 43.0392, -01 50 20.2896,    1.383696825,  -1.52
Mars,   2024-04-22T00:00:00.00, 325 44 42.1438, -01 50 12.6890,    1.383453493,  -1.52
Mars,   2024-04-23T00:00:00.00, 326 22 42.0212, -01 50  4.2786,    1.383224340,  -1.52
Mars,   2024-04-24T00:00:00.00, 327  0 42.6243, -01 49 55.0589,    1.383009399,  -1.52
Mars,   2024-04-25T00:00:00.00, 327 38 43.9061, -01 49 45.0303,    1.382808700,  -1.52
Mars,   2024-04-26T00:00:00.00, 328 16 45.8192, -01 49 34.1936,    1.382622272,  -1.52
Mars,   2024-04-27T00:00:00.00, 328 54 48.3162, -01 49 22.5497,    1.382450141,  -1.52
Mars,   2024-04-28T00:00:00.00, 329 32 51.3494, -01 49 10.0997,    1.382292333,  -1.52
Mars,   2024-04-29T00:00:00.00, 330 10 54.8712, -01 48 56.8448,    1.382148870,  -1.52
Mars,   2024-04-30T00:00:00.00, 330 48 58.8338, -01 48 42.7864,    1.382019772,  -1.52
Mars,   2024-05-01T00:00:00.00, 331 27  3.1892, -01 48 27.9261,    1.381905057,  -1.52
Mars,   2024-05-02T00:00:00.00, 332  5  7.8894, -01 48 12.2657,    1.381804743,  -1.52
Mars,   2024-05-03T00:00:00.00, 332 43 12.8863, -01 47 55.8069,    1.381718844,  -1.52
Mars,   2024-05-04T00:00:00.00, 333 21 18.1317, -01 47 38.5520,    1.381647371,  -1.52
Mars,   2024-05-05T00:00:00.00, 333 59 23.5775, -01 47 20.5030,    1.381590336,  -1.52
Mars,   2024-05-06T00:00:00.00, 334 37 29.1753, -01 47  1.6625,    1.381547746,  -1.52
Mars,   2024-05-07T00:00:00.00, 335 15 34.8769, -01 46 42.0330,    1.381519608,  -1.52
Mars,   2024-05-08T00:00:00.00, 335 53 40.6339, -01 46 21.6173,    1.381505925,  -1.52
Mars,   2024-05-09T00:00:00.00, 336 31 46.3980, -01 46  0.4181,    1.381506700,  -1.52
Mars,   2024-05-10T00:00:00.00, 337  9 52.1210, -01 45 38.4387,    1.381521933,  -1.52
Mars,   2024-05-11T00:00:00.00, 337 47 57.7545, -01 45 15.6821,    1.381551620,  -1.52
Mars,   2024-05-12T00:00:00.00, 338 26  3.2502, -01 44 52.1518,    1.381595759,  -1.52
Mars,   2024-05-13T00:00:00.00, 339  4  8.5599, -01 44 27.8513,    1.381654343,  -1.52
Mars,   2024-05-14T00:00:00.00, 339 42 13.6354, -01 44  2.7842,    1.381727363,  -1.52
Mars,   2024-05-15T00:00:00.00, 340 20 18.4286, -01 43 36.9546,    1.381814809,  -1.52
Mars,   2024-05-16T00:00:00.00, 340 58 22.8914, -01 43 10.3662,    1.381916668,  -1.52
Mars,   2024-05-17T00:00:00.00, 341 36 26.9758, -01 42 43.0234,    1.382032926,  -1.52
Mars,   2024-05-18T00:00:00.00, 342 14 30.6340, -01 42 14.9304,    1.382163566,  -1.52
Mars,   2024-05-19T00:00:00.00, 342 52 33.8182, -01 41 46.0916,    1.382308570,  -1.52
Mars,   2024-05-20T00:00:00.00, 343 30 36.4808, -01 41 16.5118,    1.382467916,  -1.52
Mars,   2024-05-21T00:00:00.00, 344  8 38.5742, -01 40 46.1955,    1.382641583,  -1.52
Mars,   2024-05-22T00:00:00.00, 344 46 40.0511, -01 40 15.1479,    1.382829545,  -1.52
Mars,   2024-05-23T00:00:00.00, 345 24 40.8642, -01 39 43.3737,    1.383031775,  -1.52
Mars,   2024-05-24T00:00:00.00, 346  2 40.9665, -01 39 10.8784,    1.383248244,  -1.52
Mars,   2024-05-25T00:00:00.00, 346 40 40.3111, -01 38 37.6671,    1.383478923,  -1.52
Mars,   2024-05-26T00:00:00.00, 347 18 38.8512, -01 38  3.7454,    1.383723777,  -1.52
Mars,   2024-05-27T00:00:00.00, 347 56 36.5405, -01 37 29.1189,    1.383982773,  -1.52
Mars,   2024-05-28T00:00:00.00, 348 34 33.3326, -01 36 53.7932,    1.384255873,  -1.52
Mars,   2024-05-29T00:00:00.00, 349 12 29.1813, -01 36 17.7743,    1.384543038,  -1.52
Mars,   2024-05-30T00:00:00.00, 349 50 24.0409, -01 35 41.0681,    1.384844228,  -1.52
Mars,   2024-05-31T00:00:00.00, 350 28 17.8658, -01 35  3.6808,    1.385159401,  -1.52
Mars,   2024-06-01T00:00:00.00, 351  6 10.6105, -01 34 25.6186,    1.385488511,  -1.52
Mars,   2024-06-02T00:00:00.00, 351 44  2.2300, -01 33 46.8878,    1.385831513,  -1.52
Mars,   2024-06-03T00:00:00.00, 352 21 52.6795, -01 33  7.4950,    1.386188357,  -1.52
Mars,   2024-06-04T00:00:00.00, 352 59 41.9143, -01 32 27.4467,    1.386558994,  -1.52
Mars,   2024-06-05T00:00:00.00, 353 37 29.8901, -01 31 46.7497,    1.386943371,  -1.52
Mars,   2024-06-06T00:00:00.00, 354 15 16.5631, -01 31  5.4107,    1.387341435,  -1.52
Mars,   2024-06-07T00:00:00.00, 354 53  1.8895, -01 30 23.4368,    1.387753130,  -1.52
Mars,   2024-06-08T00:00:00.00, 355 30 45.8259, -01 29 40.8349,    1.388178399,  -1.52
Mars,   2024-06-09T00:00:00.00, 356  8 28.3294, -01 28 57.6122,    1.388617181,  -1.52
Mars,   2024-06-10T00:00:00.00, 356 46  9.3572, -01 28 13.7759,    1.389069415,  -1.52
Mars,   2024-06-11T00:00:00.00, 357 23 48.8670, -01 27 29.3335,    1.389535040,  -1.52
