# Miriade.ephemcc.results\
# Request:\
# targetType: Planet, targetNumber: 1, targetName: Mercury, Diameter: 4875.20 km, Orbital period: 8.79693000E+01 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter\
# Nb rows: 500\
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H\
Mercury,   2024-04-09T00:00:00.00, 191 48  3.2404, +04 10 45.3862,    0.404712268,  -0.42\
Mercury,   2024-04-10T00:00:00.00, 195 24 30.2484, +03 49  0.2513,    0.409937006,  -0.42\
Mercury,   2024-04-11T00:00:00.00, 198 55 24.6677, +03 26 55.1687,    0.414993482,  -0.42\
Mercury,   2024-04-12T00:00:00.00, 202 21 10.1371, +03  4 36.4649,    0.419866827,  -0.42\
Mercury,   2024-04-13T00:00:00.00, 205 42  9.3927, +02 42  9.6072,    0.424543853,  -0.42\
Mercury,   2024-04-14T00:00:00.00, 208 58 44.2320, +02 19 39.3106,    0.429012880,  -0.42\
Mercury,   2024-04-15T00:00:00.00, 212 11 15.5068, +01 57  9.6371,    0.433263586,  -0.42\
Mercury,   2024-04-16T00:00:00.00, 215 20  3.1386, +01 34 44.0849,    0.437286860,  -0.42\
Mercury,   2024-04-17T00:00:00.00, 218 25 26.1495, +01 12 25.6688,    0.441074677,  -0.42\
Mercury,   2024-04-18T00:00:00.00, 221 27 42.7051, +00 50 16.9922,    0.444619983,  -0.42\
Mercury,   2024-04-19T00:00:00.00, 224 27 10.1652, +00 28 20.3106,    0.447916591,  -0.42\
Mercury,   2024-04-20T00:00:00.00, 227 24  5.1394, +00  6 37.5881,    0.450959092,  -0.42\
Mercury,   2024-04-21T00:00:00.00, 230 18 43.5463, -00 14 49.4527,    0.453742771,  -0.42\
Mercury,   2024-04-22T00:00:00.00, 233 11 20.6737, -00 35 59.2870,    0.456263542,  -0.42\
Mercury,   2024-04-23T00:00:00.00, 236  2 11.2402, -00 56 50.5482,    0.458517881,  -0.42\
Mercury,   2024-04-24T00:00:00.00, 238 51 29.4555, -01 17 21.9938,    0.460502774,  -0.42\
Mercury,   2024-04-25T00:00:00.00, 241 39 29.0809, -01 37 32.4738,    0.462215674,  -0.42\
Mercury,   2024-04-26T00:00:00.00, 244 26 23.4877, -01 57 20.9035,    0.463654456,  -0.42\
Mercury,   2024-04-27T00:00:00.00, 247 12 25.7158, -02 16 46.2376,    0.464817393,  -0.42\
Mercury,   2024-04-28T00:00:00.00, 249 57 48.5294, -02 35 47.4474,    0.465703120,  -0.42\
Mercury,   2024-04-29T00:00:00.00, 252 42 44.4729, -02 54 23.4991,    0.466310619,  -0.42\
Mercury,   2024-04-30T00:00:00.00, 255 27 25.9244, -03 12 33.3339,    0.466639202,  -0.42\
Mercury,   2024-05-01T00:00:00.00, 258 12  5.1496, -03 30 15.8484,    0.466688501,  -0.42\
Mercury,   2024-05-02T00:00:00.00, 260 56 54.3532, -03 47 29.8760,    0.466458460,  -0.42\
Mercury,   2024-05-03T00:00:00.00, 263 42  5.7309, -04  4 14.1688,    0.465949336,  -0.42\
Mercury,   2024-05-04T00:00:00.00, 266 27 51.5206, -04 20 27.3789,    0.465161702,  -0.42\
Mercury,   2024-05-05T00:00:00.00, 269 14 24.0526, -04 36  8.0406,    0.464096457,  -0.42\
Mercury,   2024-05-06T00:00:00.00, 272  1 55.8002, -04 51 14.5507,    0.462754841,  -0.42\
Mercury,   2024-05-07T00:00:00.00, 274 50 39.4302, -05  5 45.1497,    0.461138449,  -0.42\
Mercury,   2024-05-08T00:00:00.00, 277 40 47.8529, -05 19 37.9011,    0.459249262,  -0.42\
Mercury,   2024-05-09T00:00:00.00, 280 32 34.2724, -05 32 50.6704,    0.457089673,  -0.42\
Mercury,   2024-05-10T00:00:00.00, 283 26 12.2370, -05 45 21.1026,    0.454662524,  -0.42\
Mercury,   2024-05-11T00:00:00.00, 286 21 55.6884, -05 57  6.5991,    0.451971155,  -0.42\
Mercury,   2024-05-12T00:00:00.00, 289 19 59.0115, -06  8  4.2927,    0.449019444,  -0.42\
Mercury,   2024-05-13T00:00:00.00, 292 20 37.0827, -06 18 11.0222,    0.445811877,  -0.42\
Mercury,   2024-05-14T00:00:00.00, 295 24  5.3166, -06 27 23.3059,    0.442353609,  -0.42\
Mercury,   2024-05-15T00:00:00.00, 298 30 39.7104, -06 35 37.3138,    0.438650541,  -0.42\
Mercury,   2024-05-16T00:00:00.00, 301 40 36.8847, -06 42 48.8409,    0.434709410,  -0.42\
Mercury,   2024-05-17T00:00:00.00, 304 54 14.1195, -06 48 53.2796,    0.430537886,  -0.42\
Mercury,   2024-05-18T00:00:00.00, 308 11 49.3827, -06 53 45.5945,    0.426144681,  -0.42\
Mercury,   2024-05-19T00:00:00.00, 311 33 41.3500, -06 57 20.3000,    0.421539675,  -0.42\
Mercury,   2024-05-20T00:00:00.00, 315  0  9.4118, -06 59 31.4420,    0.416734052,  -0.42\
Mercury,   2024-05-21T00:00:00.00, 318 31 33.6638, -07  0 12.5875,    0.411740449,  -0.42\
Mercury,   2024-05-22T00:00:00.00, 322  8 14.8769, -06 59 16.8246,    0.406573122,  -0.42\
Mercury,   2024-05-23T00:00:00.00, 325 50 34.4404, -06 56 36.7759,    0.401248124,  -0.42\
Mercury,   2024-05-24T00:00:00.00, 329 38 54.2715, -06 52  4.6329,    0.395783496,  -0.42\
Mercury,   2024-05-25T00:00:00.00, 333 33 36.6831, -06 45 32.2159,    0.390199467,  -0.42\
Mercury,   2024-05-26T00:00:00.00, 337 35  4.2016, -06 36 51.0667,    0.384518658,  -0.42\
Mercury,   2024-05-27T00:00:00.00, 341 43 39.3221, -06 25 52.5852,    0.378766291,  -0.42\
Mercury,   2024-05-28T00:00:00.00, 345 59 44.1919, -06 12 28.2173,    0.372970387,  -0.42\
Mercury,   2024-05-29T00:00:00.00, 350 23 40.2086, -05 56 29.7066,    0.367161940,  -0.42\
Mercury,   2024-05-30T00:00:00.00, 354 55 47.5212, -05 37 49.4200,    0.361375067,  -0.42\
Mercury,   2024-05-31T00:00:00.00, 359 36 24.4239, -05 16 20.7556,    0.355647097,  -0.42\
Mercury,   2024-06-01T00:00:00.00,   4 25 46.6348, -04 51 58.6396,    0.350018580,  -0.42\
Mercury,   2024-06-02T00:00:00.00,   9 24  6.4551, -04 24 40.1113,    0.344533201,  -0.42\
Mercury,   2024-06-03T00:00:00.00,  14 31 31.8170, -03 54 24.9856,    0.339237553,  -0.42\
Mercury,   2024-06-04T00:00:00.00,  19 48  5.2332, -03 21 16.5693,    0.334180741,  -0.42\
Mercury,   2024-06-05T00:00:00.00,  25 13 42.6813, -02 45 22.3916,    0.329413795,  -0.42\
Mercury,   2024-06-06T00:00:00.00,  30 48 12.4719, -02  6 54.8852,    0.324988851,  -0.42\
Mercury,   2024-06-07T00:00:00.00,  36 31 14.1694, -01 26 11.9409,    0.320958112,  -0.42\
Mercury,   2024-06-08T00:00:00.00,  42 22 17.6581, -00 43 37.2370,    0.317372575,  -0.42\
Mercury,   2024-06-09T00:00:00.00,  48 20 42.4603, +00  0 19.7551,    0.314280564,  -0.42\
Mercury,   2024-06-10T00:00:00.00,  54 25 37.4244, +00 45  4.1793,    0.311726138,  -0.42\
Mercury,   2024-06-11T00:00:00.00,  60 36  0.8980, +01 29 56.6753,    0.309747458,  -0.42\
Mercury,   2024-06-12T00:00:00.00,  66 50 41.4753, +02 14 14.7329,    0.308375229,  -0.42\
Mercury,   2024-06-13T00:00:00.00,  73  8 19.3692, +02 57 14.4585,    0.307631354,  -0.42\
Mercury,   2024-06-14T00:00:00.00,  79 27 28.3923, +03 38 12.6141,    0.307527921,  -0.42\
