# Miriade.ephemcc.results\
# Request:\
# targetType: Planet, targetNumber: 8, targetName: Neptune, Diameter: 49244.00 km, Orbital period: 6.01823000E+04 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter\
# Nb rows: 500\
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H\
Neptune,   2024-04-09T00:00:00.00, 357  9 57.2222, -01 15 36.7041,   29.901236398,  -6.87\
Neptune,   2024-04-10T00:00:00.00, 357 10 19.0445, -01 15 37.1770,   29.901210768,  -6.87\
Neptune,   2024-04-11T00:00:00.00, 357 10 40.8667, -01 15 37.6500,   29.901185134,  -6.87\
Neptune,   2024-04-12T00:00:00.00, 357 11  2.6890, -01 15 38.1228,   29.901159495,  -6.87\
Neptune,   2024-04-13T00:00:00.00, 357 11 24.5112, -01 15 38.5957,   29.901133853,  -6.87\
Neptune,   2024-04-14T00:00:00.00, 357 11 46.3334, -01 15 39.0684,   29.901108206,  -6.87\
Neptune,   2024-04-15T00:00:00.00, 357 12  8.1555, -01 15 39.5411,   29.901082555,  -6.87\
Neptune,   2024-04-16T00:00:00.00, 357 12 29.9777, -01 15 40.0138,   29.901056900,  -6.87\
Neptune,   2024-04-17T00:00:00.00, 357 12 51.7998, -01 15 40.4864,   29.901031241,  -6.87\
Neptune,   2024-04-18T00:00:00.00, 357 13 13.6219, -01 15 40.9590,   29.901005578,  -6.87\
Neptune,   2024-04-19T00:00:00.00, 357 13 35.4440, -01 15 41.4315,   29.900979910,  -6.87\
Neptune,   2024-04-20T00:00:00.00, 357 13 57.2661, -01 15 41.9040,   29.900954238,  -6.87\
Neptune,   2024-04-21T00:00:00.00, 357 14 19.0881, -01 15 42.3764,   29.900928562,  -6.87\
Neptune,   2024-04-22T00:00:00.00, 357 14 40.9102, -01 15 42.8488,   29.900902882,  -6.87\
Neptune,   2024-04-23T00:00:00.00, 357 15  2.7322, -01 15 43.3211,   29.900877197,  -6.87\
Neptune,   2024-04-24T00:00:00.00, 357 15 24.5542, -01 15 43.7933,   29.900851508,  -6.87\
Neptune,   2024-04-25T00:00:00.00, 357 15 46.3761, -01 15 44.2655,   29.900825815,  -6.87\
Neptune,   2024-04-26T00:00:00.00, 357 16  8.1981, -01 15 44.7377,   29.900800118,  -6.87\
Neptune,   2024-04-27T00:00:00.00, 357 16 30.0200, -01 15 45.2098,   29.900774416,  -6.87\
Neptune,   2024-04-28T00:00:00.00, 357 16 51.8419, -01 15 45.6819,   29.900748711,  -6.87\
Neptune,   2024-04-29T00:00:00.00, 357 17 13.6638, -01 15 46.1539,   29.900723001,  -6.87\
Neptune,   2024-04-30T00:00:00.00, 357 17 35.4856, -01 15 46.6258,   29.900697286,  -6.87\
Neptune,   2024-05-01T00:00:00.00, 357 17 57.3075, -01 15 47.0977,   29.900671568,  -6.87\
Neptune,   2024-05-02T00:00:00.00, 357 18 19.1293, -01 15 47.5696,   29.900645845,  -6.87\
Neptune,   2024-05-03T00:00:00.00, 357 18 40.9511, -01 15 48.0414,   29.900620118,  -6.87\
Neptune,   2024-05-04T00:00:00.00, 357 19  2.7729, -01 15 48.5131,   29.900594387,  -6.87\
Neptune,   2024-05-05T00:00:00.00, 357 19 24.5946, -01 15 48.9848,   29.900568652,  -6.87\
Neptune,   2024-05-06T00:00:00.00, 357 19 46.4163, -01 15 49.4565,   29.900542912,  -6.87\
Neptune,   2024-05-07T00:00:00.00, 357 20  8.2380, -01 15 49.9281,   29.900517168,  -6.87\
Neptune,   2024-05-08T00:00:00.00, 357 20 30.0597, -01 15 50.3996,   29.900491420,  -6.87\
Neptune,   2024-05-09T00:00:00.00, 357 20 51.8813, -01 15 50.8711,   29.900465668,  -6.87\
Neptune,   2024-05-10T00:00:00.00, 357 21 13.7030, -01 15 51.3426,   29.900439912,  -6.87\
Neptune,   2024-05-11T00:00:00.00, 357 21 35.5246, -01 15 51.8140,   29.900414152,  -6.87\
