# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 6, targetName: Saturn, Diameter: 116464.00 km, Orbital period: 1.07592300E+04 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 400
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
Saturn,   2024-04-12T00:00:00.00, 340 50 23.6259, -01 49 34.8847,    9.708655525,  -8.88
Saturn,   2024-07-21T00:00:00.00, 344  4 46.0952, -01 55  7.8993,    9.679437036,  -8.88
Saturn,   2024-10-29T00:00:00.00, 347 20 19.0794, -02  0 20.6754,    9.649701603,  -8.88
Saturn,   2025-02-06T00:00:00.00, 350 37  4.2399, -02  5 11.8268,    9.619533019,  -8.88
Saturn,   2025-05-17T00:00:00.00, 353 55  2.9457, -02  9 39.9906,    9.589047349,  -8.88
Saturn,   2025-08-25T00:00:00.00, 357 14 17.0332, -02 13 43.8308,    9.558337600,  -8.88
Saturn,   2025-12-03T00:00:00.00,   0 34 47.2910, -02 17 22.0587,    9.527494481,  -8.88
Saturn,   2026-03-13T00:00:00.00,   3 56 34.6765, -02 20 33.4168,    9.496630846,  -8.88
Saturn,   2026-06-21T00:00:00.00,   7 19 39.7597, -02 23 16.6966,    9.465848929,  -8.88
Saturn,   2026-09-29T00:00:00.00,  10 44  3.1574, -02 25 30.7710,    9.435261611,  -8.88
Saturn,   2027-01-07T00:00:00.00,  14  9 44.8715, -02 27 14.5829,    9.404955049,  -8.88
Saturn,   2027-04-17T00:00:00.00,  17 36 44.3874, -02 28 27.1612,    9.375054971,  -8.88
Saturn,   2027-07-26T00:00:00.00,  21  5  1.6000, -02 29  7.6189,    9.345667891,  -8.88
Saturn,   2027-11-03T00:00:00.00,  24 34 35.5135, -02 29 15.2126,    9.316896561,  -8.88
Saturn,   2028-02-11T00:00:00.00,  28  5 25.0739, -02 28 49.3007,    9.288845866,  -8.88
Saturn,   2028-05-21T00:00:00.00,  31 37 28.4404, -02 27 49.3830,    9.261623630,  -8.88
Saturn,   2028-08-29T00:00:00.00,  35 10 44.1253, -02 26 15.0979,    9.235349695,  -8.88
Saturn,   2028-12-07T00:00:00.00,  38 45  9.9489, -02 24  6.2628,    9.210105666,  -8.88
Saturn,   2029-03-17T00:00:00.00,  42 20 43.0911, -02 21 22.8575,    9.186004203,  -8.88
