# Miriade.ephemcc.results\
# Request:\
# targetType: Planet, targetNumber: 2, targetName: Venus, Diameter: 12103.60 km, Orbital period: 2.24701000E+02 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter\
# Nb rows: 500\
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H\
Venus,   2024-04-09T00:00:00.00, 343 39 11.5775, -03 23 23.5483,    0.727468250,  -4.40\
Venus,   2024-04-10T00:00:00.00, 345 14 24.2617, -03 23 36.3054,    0.727394714,  -4.40\
Venus,   2024-04-11T00:00:00.00, 346 49 38.1529, -03 23 39.7140,    0.727318026,  -4.40\
Venus,   2024-04-12T00:00:00.00, 348 24 53.2700, -03 23 33.7656,    0.727238241,  -4.40\
Venus,   2024-04-13T00:00:00.00, 350  0  9.6309, -03 23 18.4586,    0.727155422,  -4.40\
Venus,   2024-04-14T00:00:00.00, 351 35 27.2525, -03 22 53.7982,    0.727069631,  -4.40\
Venus,   2024-04-15T00:00:00.00, 353 10 46.1512, -03 22 19.7968,    0.726980934,  -4.40\
Venus,   2024-04-16T00:00:00.00, 354 46  6.3422, -03 21 36.4736,    0.726889397,  -4.40\
Venus,   2024-04-17T00:00:00.00, 356 21 27.8405, -03 20 43.8547,    0.726795090,  -4.40\
Venus,   2024-04-18T00:00:00.00, 357 56 50.6603, -03 19 41.9733,    0.726698086,  -4.40\
Venus,   2024-04-19T00:00:00.00, 359 32 14.8149, -03 18 30.8695,    0.726598458,  -4.40\
Venus,   2024-04-20T00:00:00.00,   1  7 40.3176, -03 17 10.5904,    0.726496283,  -4.40\
Venus,   2024-04-21T00:00:00.00,   2 43  7.1810, -03 15 41.1899,    0.726391638,  -4.40\
Venus,   2024-04-22T00:00:00.00,   4 18 35.4171, -03 14  2.7290,    0.726284603,  -4.40\
Venus,   2024-04-23T00:00:00.00,   5 54  5.0378, -03 12 15.2755,    0.726175260,  -4.40\
Venus,   2024-04-24T00:00:00.00,   7 29 36.0547, -03 10 18.9041,    0.726063694,  -4.40\
Venus,   2024-04-25T00:00:00.00,   9  5  8.4789, -03  8 13.6962,    0.725949989,  -4.40\
Venus,   2024-04-26T00:00:00.00,  10 40 42.3215, -03  5 59.7402,    0.725834233,  -4.40\
Venus,   2024-04-27T00:00:00.00,  12 16 17.5934, -03  3 37.1312,    0.725716514,  -4.40\
Venus,   2024-04-28T00:00:00.00,  13 51 54.3053, -03  1  5.9709,    0.725596924,  -4.40\
Venus,   2024-04-29T00:00:00.00,  15 27 32.4678, -02 58 26.3679,    0.725475554,  -4.40\
Venus,   2024-04-30T00:00:00.00,  17  3 12.0914, -02 55 38.4370,    0.725352498,  -4.40\
Venus,   2024-05-01T00:00:00.00,  18 38 53.1869, -02 52 42.3000,    0.725227850,  -4.40\
Venus,   2024-05-02T00:00:00.00,  20 14 35.7646, -02 49 38.0848,    0.725101707,  -4.40\
Venus,   2024-05-03T00:00:00.00,  21 50 19.8352, -02 46 25.9258,    0.724974167,  -4.40\
Venus,   2024-05-04T00:00:00.00,  23 26  5.4094, -02 43  5.9638,    0.724845327,  -4.40\
Venus,   2024-05-05T00:00:00.00,  25  1 52.4978, -02 39 38.3457,    0.724715288,  -4.40\
Venus,   2024-05-06T00:00:00.00,  26 37 41.1114, -02 36  3.2246,    0.724584151,  -4.40\
Venus,   2024-05-07T00:00:00.00,  28 13 31.2609, -02 32 20.7598,    0.724452016,  -4.40\
Venus,   2024-05-08T00:00:00.00,  29 49 22.9574, -02 28 31.1162,    0.724318988,  -4.40\
Venus,   2024-05-09T00:00:00.00,  31 25 16.2120, -02 24 34.4648,    0.724185168,  -4.40\
Venus,   2024-05-10T00:00:00.00,  33  1 11.0360, -02 20 30.9823,    0.724050662,  -4.40\
Venus,   2024-05-11T00:00:00.00,  34 37  7.4407, -02 16 20.8510,    0.723915574,  -4.40\
Venus,   2024-05-12T00:00:00.00,  36 13  5.4376, -02 12  4.2586,    0.723780009,  -4.40\
Venus,   2024-05-13T00:00:00.00,  37 49  5.0382, -02  7 41.3983,    0.723644073,  -4.40\
Venus,   2024-05-14T00:00:00.00,  39 25  6.2540, -02  3 12.4685,    0.723507873,  -4.40\
Venus,   2024-05-15T00:00:00.00,  41  1  9.0967, -01 58 37.6727,    0.723371514,  -4.40\
Venus,   2024-05-16T00:00:00.00,  42 37 13.5780, -01 53 57.2193,    0.723235104,  -4.40\
Venus,   2024-05-17T00:00:00.00,  44 13 19.7094, -01 49 11.3218,    0.723098749,  -4.40\
Venus,   2024-05-18T00:00:00.00,  45 49 27.5027, -01 44 20.1981,    0.722962557,  -4.40\
Venus,   2024-05-19T00:00:00.00,  47 25 36.9693, -01 39 24.0707,    0.722826634,  -4.40\
Venus,   2024-05-20T00:00:00.00,  49  1 48.1206, -01 34 23.1665,    0.722691086,  -4.40\
Venus,   2024-05-21T00:00:00.00,  50 38  0.9678, -01 29 17.7166,    0.722556022,  -4.40\
Venus,   2024-05-22T00:00:00.00,  52 14 15.5219, -01 24  7.9561,    0.722421546,  -4.40\
Venus,   2024-05-23T00:00:00.00,  53 50 31.7937, -01 18 54.1242,    0.722287765,  -4.40\
Venus,   2024-05-24T00:00:00.00,  55 26 49.7936, -01 13 36.4633,    0.722154785,  -4.40\
Venus,   2024-05-25T00:00:00.00,  57  3  9.5315, -01  8 15.2199,    0.722022710,  -4.40\
Venus,   2024-05-26T00:00:00.00,  58 39 31.0171, -01  2 50.6434,    0.721891645,  -4.40\
Venus,   2024-05-27T00:00:00.00,  60 15 54.2595, -00 57 22.9865,    0.721761693,  -4.40\
Venus,   2024-05-28T00:00:00.00,  61 52 19.2671, -00 51 52.5049,    0.721632957,  -4.40\
Venus,   2024-05-29T00:00:00.00,  63 28 46.0477, -00 46 19.4571,    0.721505540,  -4.40\
Venus,   2024-05-30T00:00:00.00,  65  5 14.6086, -00 40 44.1039,    0.721379542,  -4.40\
Venus,   2024-05-31T00:00:00.00,  66 41 44.9559, -00 35  6.7087,    0.721255063,  -4.40\
Venus,   2024-06-01T00:00:00.00,  68 18 17.0952, -00 29 27.5371,    0.721132201,  -4.40\
Venus,   2024-06-02T00:00:00.00,  69 54 51.0310, -00 23 46.8564,    0.721011056,  -4.40\
Venus,   2024-06-03T00:00:00.00,  71 31 26.7668, -00 18  4.9358,    0.720891723,  -4.40\
Venus,   2024-06-04T00:00:00.00,  73  8  4.3050, -00 12 22.0461,    0.720774296,  -4.40\
Venus,   2024-06-05T00:00:00.00,  74 44 43.6467, -00  6 38.4591,    0.720658870,  -4.40\
Venus,   2024-06-06T00:00:00.00,  76 21 24.7921, -00  0 54.4479,    0.720545537,  -4.40\
Venus,   2024-06-07T00:00:00.00,  77 58  7.7396, +00  4 49.7135,    0.720434387,  -4.40\
Venus,   2024-06-08T00:00:00.00,  79 34 52.4865, +00 10 33.7505,    0.720325508,  -4.40\
Venus,   2024-06-09T00:00:00.00,  81 11 39.0286, +00 16 17.3883,    0.720218988,  -4.40\
Venus,   2024-06-10T00:00:00.00,  82 48 27.3599, +00 22  0.3517,    0.720114911,  -4.40\
Venus,   2024-06-11T00:00:00.00,  84 25 17.4731, +00 27 42.3656,    0.720013361,  -4.40\
Venus,   2024-06-12T00:00:00.00,  86  2  9.3588, +00 33 23.1553,    0.719914420,  -4.40\
Venus,   2024-06-13T00:00:00.00,  87 39  3.0061, +00 39  2.4465,    0.719818166,  -4.40\
Venus,   2024-06-14T00:00:00.00,  89 15 58.4022, +00 44 39.9656,    0.719724677,  -4.40\
Venus,   2024-06-15T00:00:00.00,  90 52 55.5322, +00 50 15.4403,    0.719634027,  -4.40\
Venus,   2024-06-16T00:00:00.00,  92 29 54.3795, +00 55 48.5991,    0.719546290,  -4.40\
Venus,   2024-06-17T00:00:00.00,  94  6 54.9252, +01  1 19.1724,    0.719461535,  -4.40\
Venus,   2024-06-18T00:00:00.00,  95 43 57.1485, +01  6 46.8920,    0.719379831,  -4.40\
Venus,   2024-06-19T00:00:00.00,  97 21  1.0263, +01 12 11.4918,    0.719301243,  -4.40\
Venus,   2024-06-20T00:00:00.00,  98 58  6.5333, +01 17 32.7078,    0.719225835,  -4.40\
Venus,   2024-06-21T00:00:00.00, 100 35 13.6420, +01 22 50.2785,    0.719153667,  -4.40\
Venus,   2024-06-22T00:00:00.00, 102 12 22.3228, +01 28  3.9450,    0.719084798,  -4.40\
Venus,   2024-06-23T00:00:00.00, 103 49 32.5433, +01 33 13.4513,    0.719019283,  -4.40\
Venus,   2024-06-24T00:00:00.00, 105 26 44.2693, +01 38 18.5445,    0.718957174,  -4.40\
Venus,   2024-06-25T00:00:00.00, 107  3 57.4638, +01 43 18.9751,    0.718898522,  -4.40\
Venus,   2024-06-26T00:00:00.00, 108 41 12.0877, +01 48 14.4972,    0.718843374,  -4.40\
Venus,   2024-06-27T00:00:00.00, 110 18 28.0994, +01 53  4.8687,    0.718791774,  -4.40\
Venus,   2024-06-28T00:00:00.00, 111 55 45.4547, +01 57 49.8515,    0.718743765,  -4.40\
Venus,   2024-06-29T00:00:00.00, 113 33  4.1074, +02  2 29.2117,    0.718699384,  -4.40\
Venus,   2024-06-30T00:00:00.00, 115 10 24.0085, +02  7  2.7201,    0.718658668,  -4.40\
